id,tokens,tags
bc5cdr_631_aug0,"['retrospectively', 'examined', 'records', '25', 'renal', 'transplant', 'patients', ',', 'developed', 'displayed', 'increased', 'proteinuria', 'after', 'tacrolimus', 'conversion', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Chemical', 'O', 'O']"
bc5cdr_631_aug1,"['retrospectively', 'examined', 'records', '25', 'renal', 'transplant', 'patients', ',', 'developed', 'displayed', 'increased', 'proteinuria', 'after', 'FK506', 'conversion', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Chemical', 'O', 'O']"
bc5cdr_1319_aug0,"['relationship', 'hippocampal', 'nicotine', 'release', 'cholinergic', 'convulsant', 'sensitivity', 'withdrawal', 'seizure', '-', 'prone', 'withdrawal', 'seizure', '-', 'resistant', 'selected']","['O', 'O', 'B-Chemical', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
bc5cdr_1319_aug1,"['relationship', 'hippocampal', 'NMDA', 'release', 'cholinergic', 'convulsant', 'sensitivity', 'withdrawal', 'seizure', '-', 'prone', 'withdrawal', 'seizure', '-', 'resistant', 'selected']","['O', 'O', 'B-Chemical', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
bc5cdr_1494_aug0,"['postulate', 'virtue', 'direct', 'blocking', 'action', 'IKr', ',', 'PTX', 'alone', 'may', 'prolong', 'QT', 'interval', 'induce', 'TdP', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Chemical', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
bc5cdr_1494_aug1,"['postulate', 'virtue', 'direct', 'blocking', 'action', 'IKr', ',', 'succinylcholine', 'alone', 'may', 'prolong', 'QT', 'interval', 'induce', 'TdP', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Chemical', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
bc5cdr_4702_aug0,"['.)', 'was', 'able', 'to', 'prevent', 'amnesia', 'induced', 'by', 'metrifonate', '(', '1', 'mg', 'kg', '-', '1', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Chemical', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
bc5cdr_4702_aug1,"['.)', 'was', 'able', 'to', 'prevent', 'amnesia', 'induced', 'by', 'PTX', '(', '1', 'mg', 'kg', '-', '1', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Chemical', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
bc5cdr_928_aug0,"['Patients', 'present', 'with', 'stress', 'incontinence', 'while', 'taking', 'simvastatin', 'should', 'change', 'antihypertensive', 'medication', 'considering', 'surgery', ',', 'incontinence']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Chemical', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
bc5cdr_928_aug1,"['Patients', 'present', 'with', 'stress', 'incontinence', 'while', 'taking', 'venlafaxine', 'should', 'change', 'antihypertensive', 'medication', 'considering', 'surgery', ',', 'incontinence']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Chemical', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
bc5cdr_758_aug0,"['CONCLUSION', ':', 'Autophagic', 'cardiomyocyte', 'death', 'plays', 'important', 'role', 'pathogenesis', 'heart', 'failure', 'rats', 'induced', 'by', 'Adriamycin', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Chemical', 'O']"
bc5cdr_758_aug1,"['CONCLUSION', ':', 'Autophagic', 'cardiomyocyte', 'death', 'plays', 'important', 'role', 'pathogenesis', 'heart', 'failure', 'rats', 'induced', 'by', 'succinylcholine', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Chemical', 'O']"
bc5cdr_3263_aug0,"['CONCLUSION', ':', 'Individual', 'differences', 'renal', 'ACE', 'activity', 'predict', 'severity', 'Adriamycin', '-', 'induced', 'renal', 'damage', 'outbred', 'rat']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Chemical', 'O', 'O', 'O', 'O', 'O', 'O']"
bc5cdr_3263_aug1,"['CONCLUSION', ':', 'Individual', 'differences', 'renal', 'ACE', 'activity', 'predict', 'severity', 'succinylcholine', '-', 'induced', 'renal', 'damage', 'outbred', 'rat']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Chemical', 'O', 'O', 'O', 'O', 'O', 'O']"
bc5cdr_4485_aug0,"['hepatic', 'preneoplastic', 'nodules', 'hepatocellular', 'carcinomas', 'developed', 'in', 'rats', 'fed', 'the', 'plain', 'phenobarbital', '-', 'supplemented', 'diet', ',', 'while', 'one', 'preneoplastic', 'nodule', 'one', 'hepatocellular', 'carcinoma', 'developed', 'two', 'rats', 'fed', 'same', 'diet', 'containing', 'choline', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Chemical', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Chemical', 'O']"
