id,tokens,tags
4725_aug0,"['These', 'data', 'thus', 'indicate', 'that', 'the', 'adrenomyeloneuropathy', 'gene', 'encodes', 'an', '80', 'kDa', 'membrane', 'protein', '.', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
4725_aug1,"['These', 'data', 'thus', 'indicate', 'that', 'the', 'contiguous', 'gene', 'syndrome', 'gene', 'encodes', 'an', '80', 'kDa', 'membrane', 'protein', '.', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Disease', 'I-Disease', 'I-Disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
4725_aug2,"['These', 'data', 'thus', 'indicate', 'that', 'the', 'ALPS', 'gene', 'encodes', 'an', '80', 'kDa', 'membrane', 'protein', '.', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
4725_aug3,"['These', 'data', 'thus', 'indicate', 'that', 'the', 'adult', 'MLD', 'gene', 'encodes', 'an', '80', 'kDa', 'membrane', 'protein', '.', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Disease', 'I-Disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
4725_aug4,"['These', 'data', 'thus', 'indicate', 'that', 'the', 'NDP', 'gene', 'encodes', 'an', '80', 'kDa', 'membrane', 'protein', '.', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
3568_aug0,"['Half', 'of', 'all', 'DMD', 'patients', 'have', 'a', 'deletion', 'of', 'one', 'particular', 'small', 'group', 'of', 'exons', ';', 'smaller', 'deletions', 'within', 'this', 'same', 'group', 'produce', 'the', 'more', 'severe', 'BMD', '.', '.']","['O', 'O', 'O', 'B-Disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Disease', 'O', 'O']"
3568_aug1,"['Half', 'of', 'all', 'adrenomyeloneuropathy', 'patients', 'have', 'a', 'deletion', 'of', 'one', 'particular', 'small', 'group', 'of', 'exons', ';', 'smaller', 'deletions', 'within', 'this', 'same', 'group', 'produce', 'the', 'more', 'severe', 'adrenomyeloneuropathy', '.', '.']","['O', 'O', 'O', 'B-Disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Disease', 'O', 'O']"
3568_aug2,"['Half', 'of', 'all', 'contiguous', 'gene', 'syndrome', 'patients', 'have', 'a', 'deletion', 'of', 'one', 'particular', 'small', 'group', 'of', 'exons', ';', 'smaller', 'deletions', 'within', 'this', 'same', 'group', 'produce', 'the', 'contiguous', 'gene', 'syndrome', 'severe', 'DMD', '.', '.']","['O', 'O', 'O', 'B-Disease', 'I-Disease', 'I-Disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Disease', 'I-Disease', 'I-Disease', 'O', 'B-Disease', 'O', 'O']"
3568_aug3,"['Half', 'of', 'all', 'VHL', 'patients', 'have', 'a', 'deletion', 'of', 'one', 'particular', 'small', 'group', 'of', 'exons', ';', 'smaller', 'deletions', 'within', 'this', 'same', 'group', 'produce', 'the', 'more', 'severe', 'VHL', '.', '.']","['O', 'O', 'O', 'B-Disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Disease', 'O', 'O']"
5369_aug0,"['The', 'loss', 'of', 'wild', '-', 'type', 'BRCA1', 'in', 'tumour', 'of', 'individuals', 'carrying', 'one', 'nonfunctional', 'BRCA1', 'allele', 'suggests', 'that', 'BRCA1', 'encodes', 'a', 'tumours', 'suppressor', 'that', 'may', 'inhibit', 'the', 'proliferation', 'mammary', 'epithelial', 'cells', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
