id,tokens,ner_tags
0,"['Comparison' 'with' 'alkaline' 'phosphatases' 'and' '5' '-'
 'nucleotidase']",[0 0 1 2 0 1 2 2]
1,['Pharmacologic' 'aspects' 'of' 'neonatal' 'hyperbilirubinemia' '.'],[0 0 0 0 0 0]
2,"['When' 'CSF' '[' 'HCO3' '-' ']' 'is' 'shown' 'as' 'a' 'function' 'of'
 'CSF' 'PCO2' 'the' 'data' 'of' 'K' '-' 'depleted' 'rats' 'are' 'no'
 'longer' 'displaced' 'when' 'compared' 'to' 'controls' 'but' 'still'
 'have' 'a' 'significantly' 'greater' 'slope' '(' '1' '.' '21' '+' '/' '-'
 '0' '.' '23' 'vs' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0]"
3,"['Flurazepam' 'thus' 'appears' 'to' 'be' 'an' 'effective' 'hypnotic'
 'drug' 'with' 'the' 'optimum' 'dose' 'for' 'use' 'in' 'general'
 'practice' 'being' '15' 'mg' 'at' 'night' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4,['Beta' 'blocking' 'agents' '.'],[0 0 0 0]
5,"['When' 'extracorporeal' 'CO2' 'removal' 'approximated' 'CO2' 'production'
 '(' 'VCO2' ')' ',' 'alveolar' 'ventilation' 'almost' 'ceased' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6,"['Intravenous' 'administration' '(' '25' 'mg' '/' 'kg' ')' 'of' 'carbonic'
 'anhydrase' 'inhibitors' '(' 'acetazolamide' ',' 'methazolamide' ','
 'dichlorphenamide' ',' 'sulthiame' ')' 'induced' 'an' 'early' 'important'
 'rise' 'of' 'cortical' 'p' 'O2' ',' 'which' 'is' 'not' 'dependent' 'on'
 'increase' 'of' 'p' 'O2' 'and' 'p' 'CO2' 'and' 'decrease' 'of' 'pH' 'in'
 'arterial' 'blood' '.']","[0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
7,"['Teratological' 'study' 'of' 'etoperidone' 'in' 'the' 'rat' 'and'
 'rabbit' '.']",[0 0 0 0 0 0 0 0 0 0]
8,"['Colorectal' 'polyps' 'should' 'be' 'removed' 'endoscopically' 'whenever'
 'possible' '.']",[0 0 0 0 0 0 0 0 0]
9,"['The' 'variable' 'HMG' 'dosage' 'regimen' 'was' 'found' 'to' 'offer' 'no'
 'advantages' 'when' 'compared' 'with' 'our' 'standard' 'daily' 'dosage'
 'regimen' '.']",[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
10,"['When' 'the' 'CO2' 'content' 'reached' '9' 'Vol' '%' 'the' 'animals'
 'became' 'apathic' 'and' 'lost' 'body' 'weight' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
11,"['Serum' 'gamma' 'glutamyltransferase' 'in' 'the' 'diagnosis' 'of' 'liver'
 'disease' 'in' 'cattle' '.']",[1 2 2 0 0 0 0 0 0 0 0 0]
12,"['By' 'contrast' ',' 'secretory' 'HI' 'antibodies' 'were' 'not'
 'demonstrated' 'at' 'the' 'onset' 'of' 'illness' 'in' 'any' 'of' 'the'
 'patients' ',' 'but' 'their' 'formation' 'started' 'early' 'and' 'the'
 'antibodies' 'reached' 'maximal' 'levels' 'about' '10' 'days' 'after'
 'onset' 'of' 'illness' '.']","[0 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0]"
13,"['With' 'the' 'exception' 'of' 'virus' 'assay' 'and' 'quantitation' ','
 'these' 'methods' 'are' 'simple' 'and' 'inexpensive' 'enough' 'to' 'be'
 'done' 'in' 'typical' 'shellfish' 'microbiology' 'laboratories' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
14,['Characteristics' 'of' 'lipase' 'activity' '.'],[0 0 1 0 0]
15,"['Takayasu' ""'"" 's' 'disease' ':' 'association' 'with' 'HLA' '-' 'B5' '.']",[0 0 0 0 0 0 0 1 2 2 0]
16,"['SGPT' ',' 'SGOT' ',' 'and' 'alkaline' 'phosphatase' 'concentrations'
 'were' 'essentially' 'normal' 'in' 'all' 'subjects' '.']",[1 0 1 0 0 1 2 0 0 0 0 0 0 0 0]
17,"['Gamma' 'glutamyl' 'transpeptidase' '(' 'GGTP' ')' 'activity' 'in' 'the'
 'seminal' 'fluid']",[1 2 2 0 1 0 0 0 0 0 0]
18,"['Patients' 'with' 'Parkinson' ""'"" 's' 'disease' 'showed' 'a' 'relatively'
 'high' 'incidence' 'to' 'psychoses' 'during' 'drug' 'treatment' '(' '51'
 '.' '47' '%' ')' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
19,"['Selective' 'stimulation' 'of' 'central' 'alpha' '-' 'autoreceptors'
 'following' 'treatment' 'with' 'alpha' '-' 'methyldopa' 'and' 'FLA' '136'
 '.']",[0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0]
20,"['Anti' '-' 'anxiety' 'action' 'of' 'diazepam' 'after' 'intra' '-'
 'amygdaloid' 'application' 'in' 'the' 'rat' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
21,['Abstracts' '.'],[0 0]
22,"['Removal' 'of' 'thick' ',' 'permanently' 'altered' 'mucoas' 'is'
 'recommended' 'even' 'in' 'the' 'absence' 'of' 'squamous' 'epithelium'
 '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
23,"['An' 'IgG' 'monoclonal' 'gammopathy' 'was' 'present' 'in' 'the' 'serum'
 'of' '4' 'patients' 'and' 'Bence' '-' 'Joanes' 'proteinuria' 'was'
 'found' 'in' '1' 'patient' '.']",[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
24,"['Studies' 'on' 'immunoglobulin' 'E' ':' 'the' 'impact' 'of' 'a' 'sojourn'
 'with' 'Professor' 'Dan' 'H' '.']",[0 0 1 2 0 0 0 0 0 0 0 0 0 0 0]
25,"['Peroxydase' 'reaction' 'stains' 'were' 'negative' ',' 'chloroacetate'
 'esterase' 'were' 'strongly' 'positive' '.']",[1 0 0 0 0 0 1 2 0 0 0 0]
26,"['Ten' 'out' '-' 'patients' 'with' 'pustulosis' 'palmaris' 'et'
 'plantaris' 'were' 'examined' 'with' 'direct' 'immunofluorescence' '('
 'IF' ')' 'technique' 'for' 'deposition' 'of' 'fibrinogen' ',' 'fibrin'
 'or' 'its' 'degradation' 'products' '(' 'FR' '-' 'antigen' ')' 'in'
 'affected' 'and' 'unaffected' 'skin' ',' 'together' 'with' 'heparin' '-'
 'precipitable' 'fraction' '(' 'HPF' ')' ',' 'cryoglobulin' 'and' 'total'
 'plasma' 'fibrinogen' 'in' 'the' 'blood' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 2 2 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0]"
27,"['Of' '600' 'mediastinoscopies' 'carried' 'out' 'from' '1966' 'to' '1973'
 ',' '479' 'were' 'performed' 'to' 'assess' 'the' 'operability' 'of' 'a'
 'pulmonary' 'carcinoma' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
28,"['A' 'mixture' 'of' 'human' 'albumin' '5' '%' 'and' 'hydroxy' '-' 'ethyl'
 '-' 'starch' 'was' 'used' 'as' 'a' 'solution' 'for' 'dilution' '.']",[0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
29,"['In' 'the' 'matched' 'control' 'group' 'the' 'acquisition' '-' 'rate'
 'of' 'both' 'symptomatic' 'and' 'asymptomatic' '0acteriuria' 'was' 'over'
 '12' '%' ',' 'a' 'figure' 'similar' 'to' 'the' 'percentage' 'of' 'women'
 'present' 'in' 'the' 'practice' 'population' 'during' 'one' 'year' 'with'
 'transient' ',' 'symptomatic' ',' 'and' 'persistent' 'A' '.' 'B' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0]"
30,"['Late' 'complications' 'of' 'catheterisation' 'for' 'intravenous'
 'nutrition' '.']",[0 0 0 0 0 0 0 0]
31,['Prenatal' 'diagnosis' 'of' 'galactosaemia' '.'],[0 0 0 0 0]
32,"['Sings' 'which' 'are' 'indicative' 'of' 'metaplastic' 'erythropoiesis'
 'are' 'absent' '.']",[0 0 0 0 0 0 0 0 0 0]
33,"['False' 'positive' 'amniotic' 'fluid' 'alpha' 'fetoprotein' 'levels'
 'resulting' 'from' 'contamination' 'with' 'fetal' 'blood' ':' 'results'
 'of' 'an' 'experiment' '.']",[0 0 1 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0]
34,['Serum' '-' 'ferritin' 'in' 'diagnosis' 'of' 'haemochromatosis' '.'],[0 0 1 0 0 0 0 0]
35,"['In' '2' 'subjects' 'the' 'phytomitogen' 'reactivity' 'of' 'the'
 'lymphocytes' 'was' 'improved' 'after' 'treatment' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
36,['Patients' 'at' 'risk' 'of' 'hypothyroidism' '.'],[0 0 0 0 0 0]
37,"['Albumin' 'and' 'cyclic' 'AMP' 'levels' 'in' 'peritoneal' 'fluids' 'in'
 'the' 'child']",[1 0 0 0 0 0 0 0 0 0 0]
38,['Preface' '.'],[0 0]
39,"['Thirty' '-' 'five' 'strains' 'of' 'Legionnaires' ""'"" 'disease'
 'bacteria' 'were' 'shown' 'to' 'belong' 'in' 'four' 'distinct'
 'serologic' 'groups' 'on' 'the' 'basis' 'of' 'findings' 'obtained' 'with'
 'direct' 'fluorescent' 'antibody' 'testing' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
40,"['On' 'the' 'other' 'hand' 'factor' 'IX' 'activity' 'is' 'decreased' 'in'
 'coumarin' 'treatment' 'with' 'factor' 'IX' 'antigen' 'remaining'
 'normal' '.']",[0 0 0 0 1 2 0 0 0 0 0 0 0 1 2 0 0 0 0]
41,"['The' 'concentration' 'of' 'alpha' '2' '-' 'macroglobulin' ',' 'alpha'
 '1' '-' 'antitrypsin' ',' 'plasminogen' ',' 'C3' '-' 'complement' ','
 'fibrinogen' 'degradation' 'products' '(' 'FDP' ')' 'and' 'fibrinolytic'
 'activity' ',' 'were' 'studied' 'in' 'the' 'aqueous' 'humour' 'and'
 'serum' 'from' 'nine' 'patients' 'with' 'Fuchs' ""'"" 'endothelial'
 'dystrophy' ',' '17' 'patients' 'with' 'uncomplicated' 'senile'
 'cataract' 'and' 'in' 'the' 'secondary' 'aqueous' 'from' 'six' 'cataract'
 'patients' '.']","[0 0 0 1 2 2 2 0 1 2 2 2 0 1 0 1 2 2 0 1 2 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
42,"['Only' '17' '%' 'of' 'all' 'patients' 'admitted' 'it' 'at' 'all' 'times'
 '.']",[0 0 0 0 0 0 0 0 0 0 0 0]
43,"['Prazosin' 'alone' 'was' 'effective' 'in' 'volume' 'responsive'
 'patients' 'at' 'a' 'dose' 'of' '5' '+' '/' '-' '1' '.' '0' 'mg' 'daily'
 '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
44,"['T4' 'and' 'FT4I' 'followed' 'parallel' 'courses' 'in' 'both' 'groups'
 ';' 'during' 'the' 'first' '45' 'days' ',' 'however' ',' 'the' 'values'
 'were' 'significantly' 'lower' 'in' 'premature' 'infants' 'under' '34'
 'weeks' ""'"" 'EGA' 'than' 'in' 'term' 'infants' '(' 'P' 'less' 'than' '0'
 '.' '001' ')' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]"
45,"['A' 'three' '-' 'phased' 'analysis' 'of' 'treatment' 'plans' 'for' '45'
 'patients' 'was' 'undertaken' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
46,"['Aspirin' 'intolerance' ':' 'unaltered' 'susceptibility' 'of' 'platelet'
 'cyclo' '-' 'oxygenase' 'to' 'inhibition' 'by' 'aspirin' 'in' 'vitro' '.']",[0 0 0 0 0 0 1 2 2 2 0 0 0 0 0 0 0]
47,"['These' 'results' 'indicate' 'that' 'cynomolgus' 'monkeys' 'are' 'either'
 'less' 'sensitive' 'or' 'respond' 'differently' 'than' 'rhesus' 'monkeys'
 'to' 'some' 'of' 'the' 'pharmacological' 'effects' 'of' 'norcocaine' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
48,"['59' 'cases' 'of' 'surgically' 'resectable' 'cancers' '(' 'T1' ',' 'T2'
 ',' 'T3' ',' 'N0' ',' 'N1' ')' 'had' 'a' 'minimum' 'followup' 'of' 'two'
 'years' '(' 'average' '4' 'years' '+' '/' '-' '3' 'months' ')' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
49,"['The' 'effect' 'of' 'CBZ' 'and' 'DPH' 'can' 'be' 'explained' 'by'
 'interference' 'with' 'thyroid' 'hormone' 'binding' 'to' 'TBG' 'combined'
 'with' 'enzyme' '-' 'induced' 'increased' 'metabolic' 'clearance' 'rate'
 'of' 'thyroid' 'hormones' 'without' 'homeostatic' 'maintenance' 'of'
 'premedication' 'levels' 'of' 'FT4' 'and' 'FT3' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
50,"['The' 'present' 'research' 'evaluated' 'the' 'possibility' 'that'
 'polyethylene' 'glycol' '400' '(' 'PEG' '400' ')' 'might' 'be'
 'efficacious' ',' 'toxic' ',' 'or' 'both' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
51,"['According' 'to' 'their' 'functional' 'properties' 'the' 'latter'
 'neurons' 'were' 'subdivided' 'into' ':' '(' 'a' ')' 'neurons'
 'responding' 'to' 'stimuli' 'near' 'the' 'eyes' ';' '(' 'b' ')' 'neurons'
 'triggered' 'by' 'complex' 'visual' 'stimuli' ';' '(' 'c' ')' 'neurons'
 'inhibited' 'by' 'visual' 'stimuli' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0]"
52,"['Pentobarbital' '(' '1' ',' '3' ',' '10' ',' 'and' '17' '.' '5' 'mg' '/'
 'kg' ')' 'was' 'also' 'tested' 'in' 'combination' 'with' 'rate' '-'
 'decreasing' 'doses' 'of' 'normeperidine' '(' '17' '.' '5' 'mg' '/' 'kg'
 ')' ',' 'anileridine' '(' '10' 'mg' '/' 'kg' ')' ',' 'alphaprodine' '('
 '10' 'mg' '/' 'kg' ')' ',' 'and' 'fentanyl' '(' '0' '.' '3' 'mg' '/' 'kg'
 ')' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
53,"['Pb' 'foil' '(' '0' '.' '55' 'gcm' '-' '2' ')' 'provided' 'the' 'best'
 'overall' 'improvement' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
