id,tokens,tags
5914_aug0,"['The', 'data', 'suggest', 'that', 'ras', 'constitutively', 'increases', 'ICP10', 'activity', ',', 'and', 'its', 'TM', 'segment', 'plays', 'a', 'critical', 'role', 'in', 'transformation', '-', 'related', 'signaling', 'pathways', '.']","['O', 'O', 'O', 'O', 'B-Disease', 'O', 'O', 'B-Disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5914_aug1,"['The', 'data', 'suggest', 'that', 'MAPK', 'constitutively', 'increases', 'MAPK', 'activity', ',', 'and', 'its', 'TM', 'segment', 'plays', 'a', 'critical', 'role', 'in', 'transformation', '-', 'related', 'signaling', 'pathways', '.']","['O', 'O', 'O', 'O', 'B-Disease', 'O', 'O', 'B-Disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5914_aug2,"['The', 'data', 'suggest', 'that', 'p56', 'constitutively', 'increases', 'p56', 'activity', ',', 'and', 'its', 'TM', 'segment', 'plays', 'a', 'critical', 'role', 'in', 'transformation', '-', 'related', 'signaling', 'pathways', '.']","['O', 'O', 'O', 'O', 'B-Disease', 'O', 'O', 'B-Disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5914_aug3,"['The', 'data', 'suggest', 'that', 'lck', 'constitutively', 'increases', 'lck', 'activity', ',', 'and', 'its', 'TM', 'segment', 'plays', 'a', 'critical', 'role', 'in', 'transformation', '-', 'related', 'signaling', 'pathways', '.']","['O', 'O', 'O', 'O', 'B-Disease', 'O', 'O', 'B-Disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5914_aug4,"['The', 'data', 'suggest', 'that', 'Raf', 'constitutively', 'increases', 'Raf', 'activity', ',', 'and', 'its', 'TM', 'segment', 'plays', 'a', 'critical', 'role', 'in', 'transformation', '-', 'related', 'signaling', 'pathways', '.']","['O', 'O', 'O', 'O', 'B-Disease', 'O', 'O', 'B-Disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5298_aug0,"['The', 'expression', 'of', 'this', 'clone', 'in', 'a', 'mik1', '/', 'wee1', '-', 'deficient', 'mutant', 'causes', 'an', 'elongated', 'cell', 'phenotype', 'under', 'non', '-', 'permissive', 'growth', 'conditions', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Disease', 'O', 'B-Disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5298_aug1,"['The', 'expression', 'of', 'this', 'clone', 'in', 'a', 'mcs4', '/', 'mcs4', '-', 'deficient', 'mutant', 'causes', 'an', 'elongated', 'cell', 'phenotype', 'under', 'non', '-', 'permissive', 'growth', 'conditions', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Disease', 'O', 'B-Disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5298_aug2,"['The', 'expression', 'of', 'this', 'clone', 'in', 'a', 'Spc1', '/', 'Spc1', '-', 'deficient', 'mutant', 'causes', 'an', 'elongated', 'cell', 'phenotype', 'under', 'non', '-', 'permissive', 'growth', 'conditions', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Disease', 'O', 'B-Disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5298_aug3,"['The', 'expression', 'of', 'this', 'clone', 'in', 'a', 'REST', '/', 'REST', '-', 'deficient', 'mutant', 'causes', 'an', 'elongated', 'cell', 'phenotype', 'under', 'non', '-', 'permissive', 'growth', 'conditions', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Disease', 'O', 'B-Disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5298_aug4,"['The', 'expression', 'of', 'this', 'clone', 'in', 'a', 'NRSF', '/', 'NRSF', '-', 'deficient', 'mutant', 'causes', 'an', 'elongated', 'cell', 'phenotype', 'under', 'non', '-', 'permissive', 'growth', 'conditions', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Disease', 'O', 'B-Disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2611_aug0,"['This', 'TP53', 'target', 'gene', 'is', 'amplified', '10', '-', '20', '-', 'fold', 'in', 'four', 'SCLC', 'cell', 'line', 'DNAs', 'and', 'in', 'one', 'SCLC', 'tumour', 'specimen', 'taken', 'directly', 'from', 'a', 'patient', '.']","['O', 'B-Disease', 'I-Disease', 'I-Disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
4959_aug0,"['This', 'shows', 'that', 'the', 'characteristically', 'diffuse', 'banding', 'pattern', 'of', 'plant', 'nuclear', 'proteins', 'interacting', 'with', 'the', 'G', '-', 'box', 'is', 'also', 'observed', 'in', 'a', 'binding', 'assay', 'using', 'only', 'one', 'GATA', '-', '4', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Disease', 'I-Disease', 'I-Disease', 'O']"
4959_aug1,"['This', 'shows', 'that', 'the', 'characteristically', 'diffuse', 'banding', 'pattern', 'of', 'plant', 'nuclear', 'proteins', 'interacting', 'with', 'the', 'G', '-', 'box', 'is', 'also', 'observed', 'in', 'a', 'binding', 'assay', 'using', 'only', 'one', 'GATA', '-', 'binding', 'protein', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Disease', 'I-Disease', 'I-Disease', 'I-Disease', 'O']"
4959_aug2,"['This', 'shows', 'that', 'the', 'characteristically', 'diffuse', 'banding', 'pattern', 'of', 'plant', 'nuclear', 'proteins', 'interacting', 'with', 'the', 'G', '-', 'box', 'is', 'also', 'observed', 'in', 'a', 'binding', 'assay', 'using', 'only', 'one', 'GLUT4', 'repressor', 'element', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Disease', 'I-Disease', 'I-Disease', 'O']"
4959_aug3,"['This', 'shows', 'that', 'the', 'characteristically', 'diffuse', 'banding', 'pattern', 'of', 'plant', 'nuclear', 'proteins', 'interacting', 'with', 'the', 'G', '-', 'box', 'is', 'also', 'observed', 'in', 'a', 'binding', 'assay', 'using', 'only', 'one', 'G4RE', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Disease', 'O']"
4959_aug4,"['This', 'shows', 'that', 'the', 'characteristically', 'diffuse', 'banding', 'pattern', 'of', 'plant', 'nuclear', 'proteins', 'interacting', 'with', 'the', 'G', '-', 'box', 'is', 'also', 'observed', 'in', 'a', 'binding', 'assay', 'using', 'only', 'one', 'UCRBP', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Disease', 'O']"
